Index,Name
48,"Li, L., et al., Calculation and Evaluation of Comprehensive Energy Consumption and Carbon Emission of Revetment Engineering Materials (in Chinese). Yangtze River, 2012. 043(007): p. 50-55."
49,"Ma, Y. and Xin, S., Application of Carbon Footprint Assessment Methodology on PVC (in Chinese). Chlor-alkali Industry, 2011. 47(001): p.1-6."
50,"Tian, H., Research on the Sustainable Development of Flat Glass Industry from the Perspective of Low Carbon Economy (in Chinese). Thesis, Tianjin University of Technology, 2011."
51,"Li, J. et al., Flat glass low-carbon product certification points and application examples (in Chinese). Quality & Certification, 2018(02): p. 66-67."
52,"Peng, J., et al., Modeling of Carbon Dioxide Measurement and Optimization on Building Ceramic Industry (in Chinese). Environmental Science, 2012. 33(002): p. 665-672."
53,"Wang, Y., et al., Research on Carbon Emission and Reduction Potential of Building Ceramics in China (in Chinese). Materials Report, 2018. 32(22): p. 3967-3972."
54,"Yu, H, and Ceng, J., Carbon emission on Building Ceramics Life Cycle Process (in Chinese). Sichuan Building Materials, 2016. 42(02): p. 130-131+133."
55,"Wang X., Life Cycle Assessment for Carbon Emission of Residential Building (in Chinese). Thesis, Tianjin University, 2012."
56,"Zhang, L. et al., Carbon emission reduction benefit analysis of the technical process of a typical construction waste recycling project in Hangzhou (in Chinese). Environmental Pollution and Prevention, 2022. 44(04): p. 506-509+514."
57,"Qiu, J. and Ding, S., Analysis of carbon emission reduction potential of construction waste resource utilization (in Chinese). New industrialization, 2022. 12(03): p. 95-98+105."
58,"Guangdong Provincial Department of Housing and Urban-rural Development, Guidelines for Calculation of Building Carbon Emission (in Chinese). 2021."
